Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated,Season,Opponent_Rank_At_Game
Missouri,Holdma Dix,13,"Sat, Nov 28",Home,4,Oklahoma,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:06,2026,
Missouri,Holdma Dix,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:06,2026,
Missouri,Holdma Dix,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:06,2026,
Missouri,Holdma Dix,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:06,2026,
Northwestern,dbherron,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:37,2026,
Northwestern,dbherron,1,"Sat, Sep 5",Home,-,Bowling Green,CPU,User vs CPU,Completed,W,41.0,38.0,3.0,2026-08-08 12:18:37,2026,-
Northwestern,dbherron,2,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:37,2026,
Northwestern,dbherron,3,"Sat, Sep 19",Away,-,Baylor,tigerbo134_85571,User vs User,Completed,L,10.0,82.0,-72.0,2026-08-08 12:18:37,2026,-
Northwestern,dbherron,4,"Sat, Sep 26",Home,-,UCF,CPU,User vs CPU,Completed,L,45.0,52.0,-7.0,2026-08-08 12:18:37,2026,-
Northwestern,dbherron,5,"Sat, Oct 3",Away,-,Penn State,CPU,User vs CPU,Completed,L,10.0,23.0,-13.0,2026-08-08 12:18:37,2026,-
Northwestern,dbherron,6,"Sat, Oct 10",Home,-,Ball State,CPU,User vs CPU,Completed,W,52.0,27.0,25.0,2026-08-08 12:18:37,2026,-
Northwestern,dbherron,7,"Sat, Oct 17",Home,-,Michigan State,CPU,User vs CPU,Completed,L,45.0,47.0,-2.0,2026-08-08 12:18:37,2026,-
Northwestern,dbherron,8,"Sat, Oct 24",Home,-,Rutgers,CPU,User vs CPU,Upcoming,-,,,,2026-08-08 12:18:37,2026,
Northwestern,Chefkdh,9,"Sat, Oct 31",Home,-,Purdue,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:09,2026,
Northwestern,Chefkdh,10,"Sat, Nov 7",Home,13,Iowa,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:09,2026,
Northwestern,Chefkdh,11,"Sat, Nov 14",Away,24,Ohio State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:09,2026,
Northwestern,Chefkdh,12,"Sat, Nov 21",Away,-,Minnesota,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:09,2026,
Northwestern,Chefkdh,13,"Sat, Nov 28",Away,-,Maryland,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:09,2026,
Northwestern,Chefkdh,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:09,2026,
Northwestern,Chefkdh,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:09,2026,
Northwestern,Chefkdh,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:09,2026,
Oklahoma State,bigdaddydoubles,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:38,2026,
Oklahoma State,bigdaddydoubles,1,"Sat, Sep 5",Home,-,Tulsa,CPU,User vs CPU,Completed,W,35.0,7.0,28.0,2026-08-08 12:18:38,2026,-
Oklahoma State,bigdaddydoubles,2,"Sat, Sep 12",Home,-,Oregon,CPU,User vs CPU,Completed,W,35.0,28.0,7.0,2026-08-08 12:18:38,2026,12
Oklahoma State,bigdaddydoubles,3,"Sat, Sep 19",Home,-,Duke,CPU,User vs CPU,Completed,W,31.0,10.0,21.0,2026-08-08 12:18:38,2026,-
Oklahoma State,bigdaddydoubles,4,"Sat, Sep 26",Home,-,TCU,CPU,User vs CPU,Completed,W,45.0,3.0,42.0,2026-08-08 12:18:38,2026,-
Oklahoma State,bigdaddydoubles,5,"Sat, Oct 3",Away,11,Texas,CPU,User vs CPU,Completed,W,21.0,19.0,2.0,2026-08-08 12:18:38,2026,10
Oklahoma State,bigdaddydoubles,6,"Sat, Oct 10",Home,-,Baylor,tigerbo134_85571,User vs User,Completed,W,55.0,36.0,19.0,2026-08-08 12:18:38,2026,-
Oklahoma State,bigdaddydoubles,7,"Sat, Oct 17",Away,-,Nebraska,CPU,User vs CPU,Completed,W,38.0,17.0,21.0,2026-08-08 12:18:38,2026,-
Oklahoma State,bigdaddydoubles,8,"Sat, Oct 24",Home,21,Missouri,pancake_bear24_67064,User vs User,Upcoming,-,,,,2026-08-08 12:18:38,2026,
